NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
HKG,Cycling,Cycling Women's Keirin,1,0,Cycling - Cycling Women's Keirin,3
HUN,Water Polo,Water Polo Men's Water Polo,13,13,Water Polo - Water Polo Men's Water Polo,1
HUN,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",12,8,"Canoeing - Canoeing Women's Kayak Fours, 500 metres",2
HUN,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",6,4,"Canoeing - Canoeing Women's Kayak Doubles, 500 metres",3
INA,Badminton,Badminton Mixed Doubles,4,2,Badminton - Badminton Mixed Doubles,1
INA,Badminton,Badminton Men's Doubles,2,2,Badminton - Badminton Men's Doubles,2
INA,Badminton,Women's Doubles Team,2,2,Badminton - Women's Doubles Team,3
IND,Shooting,"Shooting Men's Air Rifle, 10 metres",2,1,"Shooting - Shooting Men's Air Rifle, 10 metres",1
IND,Athletics,Men's Javelin Throw,2,1,Athletics - Men's Javelin Throw,2
IND,Wrestling,"Wrestling Men's Lightweight, Freestyle",1,0,"Wrestling - Wrestling Men's Lightweight, Freestyle",3
IOA,Shooting,Shooting Men's Double Trap,1,1,Shooting - Shooting Men's Double Trap,1
IOA,Shooting,Shooting Men's Skeet,1,0,Shooting - Shooting Men's Skeet,2
IRI,Wrestling,Men's Greco-Roman 67kg,2,2,Wrestling - Men's Greco-Roman 67kg,1
IRI,Weightlifting,Weightlifting Men's Super-Heavyweight,2,1,Weightlifting - Weightlifting Men's Super-Heavyweight,2
IRI,Wrestling,"Wrestling Men's Middleweight, Freestyle",2,1,"Wrestling - Wrestling Men's Middleweight, Freestyle",3
IRL,Rowing,Lightweight Men's Double Sculls,2,2,Rowing - Lightweight Men's Double Sculls,1
IRL,Rowing,Lightweight Men's Double Sculls Team,2,2,Rowing - Lightweight Men's Double Sculls Team,2
IRL,Boxing,Boxing Women's Lightweight,1,1,Boxing - Boxing Women's Lightweight,3
ISL,Handball,Handball Men's Handball,14,0,Handball - Handball Men's Handball,1
ISR,Rhythmic Gymnastics,Individual All-Around,1,1,Rhythmic Gymnastics - Individual All-Around,1
ISR,Sailing,Men's Windsurfing,1,1,Sailing - Men's Windsurfing,2
ISR,Artistic Gymnastics,Men's Floor Exercise,2,1,Artistic Gymnastics - Men's Floor Exercise,3
ITA,Volleyball,Women,13,13,Volleyball - Women,1
ITA,Cycling Track,Men's Team Pursuit Team,6,6,Cycling Track - Men's Team Pursuit Team,2
ITA,Athletics,Men's 4 x 100m Relay Team,6,6,Athletics - Men's 4 x 100m Relay Team,3
JAM,Athletics,Athletics Men's 4 x 100 metres Relay,11,11,Athletics - Athletics Men's 4 x 100 metres Relay,1
JAM,Athletics,Women's 4 x 100m Relay Team,6,6,Athletics - Women's 4 x 100m Relay Team,2
JAM,Athletics,Athletics Women's 100 metres,7,3,Athletics - Athletics Women's 100 metres,3
JOR,Taekwondo,Taekwondo Men's Featherweight,1,1,Taekwondo - Taekwondo Men's Featherweight,1
JOR,Karate,Men's Kumite -67kg,1,0,Karate - Men's Kumite -67kg,2
JOR,Taekwondo,Men -68kg,1,0,Taekwondo - Men -68kg,3
JPN,Baseball/Softball,Baseball Team,24,24,Baseball/Softball - Baseball Team,1
JPN,Softball,Softball Women's Softball,15,15,Softball - Softball Women's Softball,2
JPN,Baseball/Softball,Softball Team,15,15,Baseball/Softball - Softball Team,3
KAZ,Boxing,Boxing Men's Welterweight,3,3,Boxing - Boxing Men's Welterweight,1
KAZ,Weightlifting,Weightlifting Men's Middle-Heavyweight,2,2,Weightlifting - Weightlifting Men's Middle-Heavyweight,2
KAZ,Weightlifting,Weightlifting Women's Featherweight,1,1,Weightlifting - Weightlifting Women's Featherweight,3
KEN,Athletics,Athletics Men's 800 metres,5,3,Athletics - Athletics Men's 800 metres,1
KEN,Athletics,"Athletics Men's 3,000 metres Steeplechase",5,3,"Athletics - Athletics Men's 3,000 metres Steeplechase",2
KEN,Athletics,Athletics Men's Marathon,4,2,Athletics - Athletics Men's Marathon,3
KGZ,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Welterweight, Greco-Roman",1
KGZ,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Lightweight, Greco-Roman",2
KGZ,Boxing,Men's 57kg,1,0,Boxing - Men's 57kg,3
KOR,Baseball,Baseball Men's Baseball,24,24,Baseball - Baseball Men's Baseball,1
KOR,Archery,Archery Women's Team,9,9,Archery - Archery Women's Team,2
KOR,Fencing,Men's Sabre Team,8,8,Fencing - Men's Sabre Team,3
KOS,Judo,Judo Women's Half-Lightweight,1,1,Judo - Judo Women's Half-Lightweight,1
KOS,Judo,Women -48 kg,1,1,Judo - Women -48 kg,2
KOS,Judo,Women -57 kg,1,1,Judo - Women -57 kg,3
KSA,Equestrianism,"Equestrianism Mixed Jumping, Team",4,0,"Equestrianism - Equestrianism Mixed Jumping, Team",1
KSA,Karate,Men's Kumite +75kg,1,0,Karate - Men's Kumite +75kg,2
KUW,Shooting,Shooting Men's Trap,1,0,Shooting - Shooting Men's Trap,1
KUW,Shooting,Skeet Men,1,0,Shooting - Skeet Men,2
LAT,3x3 Basketball,Men Team,4,4,3x3 Basketball - Men Team,1
